Time1	2B
8.47500999893178232014e+002	3.04939999999999997726e+001
8.47579999893205240369e+002	3.04939999999999997726e+001
8.47658999893232248724e+002	3.04950000000000009948e+001
8.47741999893216416240e+002	3.04950000000000009948e+001
8.47820999893243424594e+002	3.04950000000000009948e+001
8.47900999893201515079e+002	3.04980000000000011084e+001
8.47981999893207103014e+002	3.04969999999999998863e+001
8.48060999893234111369e+002	3.04969999999999998863e+001
8.48139999893144704401e+002	3.04969999999999998863e+001
8.48221999893197789788e+002	3.05019999999999988916e+001
8.48300999893224798143e+002	3.05019999999999988916e+001
8.48379999893135391176e+002	3.04989999999999987779e+001
8.48461999893188476562e+002	3.04980000000000011084e+001
8.48540999893215484917e+002	3.04980000000000011084e+001
8.48620999893173575401e+002	3.04989999999999987779e+001
8.48700999893131665885e+002	3.04989999999999987779e+001
8.48779999893158674240e+002	3.04989999999999987779e+001
8.48857999893138185143e+002	3.05000000000000000000e+001
8.48942999893217347562e+002	3.04980000000000011084e+001
8.49022999893175438046e+002	3.04980000000000011084e+001
8.49102999893133528531e+002	3.05000000000000000000e+001
8.49181999893160536885e+002	3.05000000000000000000e+001
8.49260999893187545240e+002	3.05000000000000000000e+001
8.49339999893214553595e+002	3.05000000000000000000e+001
8.49420999893220141530e+002	3.05010000000000012221e+001
8.49500999893178232014e+002	3.05010000000000012221e+001
8.49579999893205240369e+002	3.05049999999999990052e+001
8.49660999893210828304e+002	3.05010000000000012221e+001
8.49740999893168918788e+002	3.05010000000000012221e+001
8.49819999893195927143e+002	3.05030000000000001137e+001
8.49900999893201515079e+002	3.05030000000000001137e+001
8.49979999893228523433e+002	3.05030000000000001137e+001
8.50059999893186613917e+002	3.05040000000000013358e+001
8.50143999893218278885e+002	3.05019999999999988916e+001
8.50222999893245287240e+002	3.05019999999999988916e+001
8.50301999893155880272e+002	3.05019999999999988916e+001
8.50380999893182888627e+002	3.05049999999999990052e+001
8.50460999893140979111e+002	3.05049999999999990052e+001
8.50540999893215484917e+002	3.05060000000000002274e+001
8.50620999893173575401e+002	3.05049999999999990052e+001
8.50699999893200583756e+002	3.05049999999999990052e+001
8.50779999893158674240e+002	3.05060000000000002274e+001
8.50860999893164262176e+002	3.05070000000000014495e+001
8.50939999893191270530e+002	3.05070000000000014495e+001
8.51019999893149361014e+002	3.05060000000000002274e+001
8.51101999893202446401e+002	3.05079999999999991189e+001
8.51181999893160536885e+002	3.05079999999999991189e+001
8.51260999893187545240e+002	3.05100000000000015632e+001
8.51339999893214553595e+002	3.05100000000000015632e+001
8.51419999893172644079e+002	3.05100000000000015632e+001
8.51499999893130734563e+002	3.05049999999999990052e+001
8.51580999893136322498e+002	3.05079999999999991189e+001
8.51660999893210828304e+002	3.05079999999999991189e+001
8.51739999893237836659e+002	3.05079999999999991189e+001
8.51822999893222004175e+002	3.05090000000000003411e+001
8.51903999893227592111e+002	3.05090000000000003411e+001
8.51982999893138185143e+002	3.05090000000000003411e+001
8.52061999893165193498e+002	3.05070000000000014495e+001
8.52139999893144704401e+002	3.05070000000000014495e+001
8.52218999893171712756e+002	3.05049999999999990052e+001
8.52302999893203377724e+002	3.05090000000000003411e+001
8.52381999893230386078e+002	3.05090000000000003411e+001
8.52460999893140979111e+002	3.05090000000000003411e+001
8.52540999893215484917e+002	3.05060000000000002274e+001
8.52619999893242493272e+002	3.05060000000000002274e+001
8.52698999893153086305e+002	3.05079999999999991189e+001
8.52779999893158674240e+002	3.05070000000000014495e+001
8.52858999893185682595e+002	3.05070000000000014495e+001
8.52938999893143773079e+002	3.05070000000000014495e+001
8.53020999893196858466e+002	3.05049999999999990052e+001
8.53099999893223866820e+002	3.05049999999999990052e+001
8.53178999893134459853e+002	3.05079999999999991189e+001
8.53263999893213622272e+002	3.05090000000000003411e+001
8.53343999893171712756e+002	3.05090000000000003411e+001
8.53423999893246218562e+002	3.05070000000000014495e+001
8.53503999893204309046e+002	3.05079999999999991189e+001
8.53582999893231317401e+002	3.05079999999999991189e+001
8.53661999893141910434e+002	3.05070000000000014495e+001
8.53742999893147498369e+002	3.05060000000000002274e+001
8.53821999893174506724e+002	3.05060000000000002274e+001
8.53901999893132597208e+002	3.05070000000000014495e+001
8.53981999893207103014e+002	3.05060000000000002274e+001
8.54060999893234111369e+002	3.05060000000000002274e+001
8.54140999893192201853e+002	3.05060000000000002274e+001
8.54219999893219210207e+002	3.05060000000000002274e+001
8.54298999893246218562e+002	3.05060000000000002274e+001
8.54377999893156811595e+002	3.05060000000000002274e+001
8.54456999893183819950e+002	3.05040000000000013358e+001
8.54535999893210828304e+002	3.05040000000000013358e+001
8.54615999893168918788e+002	3.05030000000000001137e+001
8.54694999893195927143e+002	3.05060000000000002274e+001
8.54772999893175438046e+002	3.05060000000000002274e+001
8.54851999893202446401e+002	3.05040000000000013358e+001
8.54934999893186613917e+002	3.05019999999999988916e+001
8.55013999893213622272e+002	3.05019999999999988916e+001
8.55093999893171712756e+002	3.05049999999999990052e+001
8.55174999893177300692e+002	3.05049999999999990052e+001
8.55253999893204309046e+002	3.05049999999999990052e+001
8.55332999893231317401e+002	3.05010000000000012221e+001
8.55414999893167987466e+002	3.05030000000000001137e+001
8.55493999893194995821e+002	3.05030000000000001137e+001
8.55572999893222004175e+002	3.05019999999999988916e+001
8.55654999893158674240e+002	3.05040000000000013358e+001
8.55734999893233180046e+002	3.05040000000000013358e+001
8.55813999893143773079e+002	3.05030000000000001137e+001
8.55899999893154017627e+002	3.05019999999999988916e+001
8.55978999893181025982e+002	3.05019999999999988916e+001
