Time	Theta
44.245	86.46377
44.323	86.46385
44.416	86.46326
44.494	86.4648
44.572	86.46467
44.666	86.46622
44.744	86.46666
44.822	86.46673
44.9	86.46805
44.978	86.46959
45.056	86.47053
45.149	86.46999
45.227	86.46996
45.305	86.47038
45.399	86.47199
45.477	86.47396
45.555	86.47259
45.649	86.47322
45.727	86.47388
45.805	86.4728
45.883	86.47454
45.961	86.47446
46.039	86.47404
46.132	86.47576
46.21	86.47666
46.288	86.47654
46.382	86.47366
46.46	86.47533
46.538	86.47539
46.631	86.47742
46.709	86.47841
46.787	86.47816
46.881	86.47723
46.959	86.47774
47.037	86.47942
47.115	86.47723
47.193	86.47987
47.271	86.47771
47.349	86.47864
47.427	86.47963
47.505	86.47953
47.583	86.47921
47.661	86.48102
47.739	86.48169
47.817	86.48295
47.895	86.48256
47.973	86.48286
48.067	86.48631
48.147	86.48484
48.225	86.4863
48.303	86.48754
48.381	86.48586
48.458	86.48799
48.536	86.48891
48.614	86.49085
48.692	86.49131
48.786	86.48847
48.864	86.49065
48.942	86.49173
49.036	86.4919
49.114	86.49202
49.192	86.49301
49.27	86.49009
49.348	86.49052
49.426	86.49104
49.519	86.49009
49.597	86.49044
49.675	86.49071
49.753	86.49184
49.831	86.49174
49.909	86.49349
49.987	86.49062
50.065	86.48991
50.143	86.49029
50.221	86.49319
50.299	86.49261
50.377	86.49266
50.455	86.49368
50.533	86.49447
50.611	86.49634
50.705	86.49747
50.783	86.49687
50.861	86.49657
50.939	86.4995
51.017	86.49883
51.095	86.50085
51.188	86.4983
51.266	86.50156
51.344	86.50119
51.438	86.50266
51.516	86.50316
51.594	86.50489
51.688	86.50459
51.766	86.50581
51.844	86.50681
51.937	86.50696
52.015	86.50924
52.093	86.50671
52.171	86.50545
52.249	86.50892
52.327	86.51083
52.405	86.50918
52.483	86.50999
52.561	86.51099
52.639	86.51025
52.717	86.51144
52.795	86.51122
52.873	86.51031
52.951	86.50665
53.029	86.50867
53.123	86.50813
53.201	86.50716
53.279	86.50644
53.372	86.50995
53.45	86.50859
53.528	86.50781
53.622	86.50768
53.7	86.50791
53.778	86.50827
53.856	86.50992
53.934	86.50789
54.012	86.50889
54.106	86.50812
54.184	86.50871
54.262	86.51125
54.355	86.50967
54.433	86.51134
54.511	86.51086
54.605	86.51172
54.683	86.50959
54.761	86.51184
54.854	86.51321
54.932	86.51169
55.01	86.51279
55.104	86.51209
55.182	86.51283
55.26	86.51305
55.338	86.51481
55.416	86.51533
55.494	86.51648
55.572	86.5163
55.65	86.51718
55.728	86.51704
55.806	86.51503
55.884	86.51501
55.962	86.51608
56.056	86.51797
56.134	86.52027
56.212	86.51996
56.29	86.52032
56.368	86.51994
56.446	86.52036
56.524	86.52281
56.602	86.52204
56.68	86.52531
56.773	86.52341
56.851	86.52523
56.929	86.52482
57.023	86.52461
57.101	86.5228
57.179	86.52596
57.272	86.52396
