Fext	FextSD	Fgen	R	RSD	Theta	ThetaSD	Time
5.80180000000000000000e+005	0.00000000000000000000e+000	5.80180000000000000000e+005	1.12935999999999997490e-005	0.00000000000000000000e+000	-3.50464000000000019952e+000	0.00000000000000000000e+000	2.41079999217763543129e+001
5.80183000000000000000e+005	0.00000000000000000000e+000	5.80182000000000000000e+005	1.10487999999999999921e-005	0.00000000000000000000e+000	-3.47717000000000009408e+000	0.00000000000000000000e+000	2.43609999218024313450e+001
5.80185000000000000000e+005	0.00000000000000000000e+000	5.80184000000000000000e+005	1.08877000000000008061e-005	0.00000000000000000000e+000	-3.07067999999999985405e+000	0.00000000000000000000e+000	2.46209999218117445707e+001
5.80187000000000000000e+005	0.00000000000000000000e+000	5.80186000000000000000e+005	1.06651000000000005996e-005	0.00000000000000000000e+000	-3.51562999999999981071e+000	0.00000000000000000000e+000	2.48799999217735603452e+001
5.80189000000000000000e+005	0.00000000000000000000e+000	5.80188000000000000000e+005	1.05060000000000007168e-005	0.00000000000000000000e+000	-2.74657999999999979934e+000	0.00000000000000000000e+000	2.51349999217782169580e+001
5.80190000000000000000e+005	0.00000000000000000000e+000	5.80190000000000000000e+005	1.02230000000000002076e-005	0.00000000000000000000e+000	-1.86768000000000000682e+000	0.00000000000000000000e+000	2.53889999218517914414e+001
5.80194000000000000000e+005	0.00000000000000000000e+000	5.80192000000000000000e+005	1.01273000000000004293e-005	0.00000000000000000000e+000	-1.89514000000000004675e+000	0.00000000000000000000e+000	2.56549999217968434095e+001
5.80195000000000000000e+005	0.00000000000000000000e+000	5.80194000000000000000e+005	9.99440999999999940280e-006	0.00000000000000000000e+000	-1.77428999999999992276e+000	0.00000000000000000000e+000	2.59109999218489974737e+001
5.80197000000000000000e+005	0.00000000000000000000e+000	5.80196000000000000000e+005	9.94706999999999961549e-006	0.00000000000000000000e+000	-7.63549999999999950973e-001	0.00000000000000000000e+000	2.61729999218368902802e+001
5.80198000000000000000e+005	0.00000000000000000000e+000	5.80198000000000000000e+005	9.68220000000000023547e-006	0.00000000000000000000e+000	-7.91016000000000052417e-001	0.00000000000000000000e+000	2.64379999218508601189e+001
5.80201000000000000000e+005	0.00000000000000000000e+000	5.80200000000000000000e+005	9.58955000000000036867e-006	0.00000000000000000000e+000	4.39452999999999996406e-002	0.00000000000000000000e+000	2.66999999218387529254e+001
5.80202000000000000000e+005	0.00000000000000000000e+000	5.80202000000000000000e+005	9.50395000000000071390e-006	0.00000000000000000000e+000	1.29089000000000009294e+000	0.00000000000000000000e+000	2.69659999217838048935e+001
5.80205000000000000000e+005	0.00000000000000000000e+000	5.80204000000000000000e+005	9.37604999999999978700e-006	0.00000000000000000000e+000	1.24695000000000000284e+000	0.00000000000000000000e+000	2.72229999217670410872e+001
5.80207000000000000000e+005	0.00000000000000000000e+000	5.80206000000000000000e+005	9.36093999999999985882e-006	0.00000000000000000000e+000	2.44994999999999985008e+000	0.00000000000000000000e+000	2.74839999218238517642e+001
5.80208000000000000000e+005	0.00000000000000000000e+000	5.80208000000000000000e+005	9.30455000000000055627e-006	0.00000000000000000000e+000	2.60375999999999985235e+000	0.00000000000000000000e+000	2.77479999217903241515e+001
5.80212000000000000000e+005	0.00000000000000000000e+000	5.80210000000000000000e+005	9.24110000000000034214e-006	0.00000000000000000000e+000	3.04870999999999980901e+000	0.00000000000000000000e+000	2.80099999217782169580e+001
5.80213000000000000000e+005	0.00000000000000000000e+000	5.80212000000000000000e+005	9.10815999999999920600e-006	0.00000000000000000000e+000	3.98254000000000019099e+000	0.00000000000000000000e+000	2.82689999218564480543e+001
