Time1	2B
1.17817000040085986257e+002	2.24759999999999990905e+001
1.17911000040010549128e+002	2.24770000000000003126e+001
1.18004000040004029870e+002	2.24810000000000016485e+001
1.18098000040045008063e+002	2.24860000000000006537e+001
1.18192000040085986257e+002	2.24890000000000007674e+001
1.18285000040079466999e+002	2.24890000000000007674e+001
1.18379000040004029870e+002	2.24939999999999997726e+001
1.18472000039997510612e+002	2.24980000000000011084e+001
1.18566000040038488805e+002	2.24969999999999998863e+001
1.18660000040079466999e+002	2.25040000000000013358e+001
1.18753000040072947741e+002	2.25040000000000013358e+001
1.18847000039997510612e+002	2.25070000000000014495e+001
1.18940000040107406676e+002	2.25109999999999992326e+001
1.19034000040031969547e+002	2.25120000000000004547e+001
1.19128000040072947741e+002	2.25120000000000004547e+001
1.19221000040066428483e+002	2.25189999999999983515e+001
1.19315000040107406676e+002	2.25189999999999983515e+001
1.19408000040100887418e+002	2.25249999999999985789e+001
1.19502000040025450289e+002	2.25259999999999998010e+001
1.19596000040066428483e+002	2.25259999999999998010e+001
1.19689000040059909225e+002	2.25300000000000011369e+001
1.19783000040100887418e+002	2.25320000000000000284e+001
1.19876000040094368160e+002	2.25380000000000002558e+001
1.19970000040018931031e+002	2.25380000000000002558e+001
1.20064000040059909225e+002	2.25360000000000013642e+001
1.20157000040053389966e+002	2.25440000000000004832e+001
1.20251000040094368160e+002	2.25450000000000017053e+001
1.20344000040087848902e+002	2.25509999999999983800e+001
1.20438000040012411773e+002	2.25509999999999983800e+001
1.20532000040053389966e+002	2.25539999999999984936e+001
1.20625000040046870708e+002	2.25560000000000009379e+001
1.20719000040087848902e+002	2.25620000000000011653e+001
1.20812000040081329644e+002	2.25620000000000011653e+001
1.20906000040005892515e+002	2.25620000000000011653e+001
1.21000000040046870708e+002	2.25689999999999990621e+001
1.21093000040040351450e+002	2.25719999999999991758e+001
1.21187000040081329644e+002	2.25749999999999992895e+001
1.21280000040074810386e+002	2.25749999999999992895e+001
1.21374000039999373257e+002	2.25809999999999995168e+001
1.21468000040040351450e+002	2.25820000000000007390e+001
1.21561000040033832192e+002	2.25880000000000009663e+001
1.21655000040074810386e+002	2.25880000000000009663e+001
1.21749000039999373257e+002	2.25929999999999999716e+001
1.21842000040109269321e+002	2.25919999999999987494e+001
1.21936000040033832192e+002	2.25949999999999988631e+001
1.22029000040027312934e+002	2.26009999999999990905e+001
1.22123000040068291128e+002	2.26009999999999990905e+001
1.22217000040109269321e+002	2.26020000000000003126e+001
1.22310000040102750063e+002	2.26060000000000016485e+001
1.22404000040027312934e+002	2.26090000000000017621e+001
1.22497000040020793676e+002	2.26090000000000017621e+001
1.22591000040061771870e+002	2.26129999999999995453e+001
1.22685000040102750063e+002	2.26170000000000008811e+001
1.22778000040096230805e+002	2.26200000000000009948e+001
1.22872000040020793676e+002	2.26230000000000011084e+001
1.22965000040014274418e+002	2.26230000000000011084e+001
1.23059000040055252612e+002	2.26269999999999988916e+001
1.23153000040096230805e+002	2.26280000000000001137e+001
1.23246000040089711547e+002	2.26299999999999990052e+001
1.23340000040014274418e+002	2.26370000000000004547e+001
1.23433000040007755160e+002	2.26370000000000004547e+001
1.23527000040048733354e+002	2.26389999999999993463e+001
1.23621000040089711547e+002	2.26449999999999995737e+001
1.23714000040083192289e+002	2.26469999999999984652e+001
1.23808000040007755160e+002	2.26469999999999984652e+001
1.23901000040001235902e+002	2.26490000000000009095e+001
1.23995000040042214096e+002	2.26539999999999999147e+001
1.24089000040083192289e+002	2.26570000000000000284e+001
1.24182000040076673031e+002	2.26589999999999989200e+001
1.24276000040001235902e+002	2.26589999999999989200e+001
1.24369000040111131966e+002	2.26640000000000014779e+001
1.24463000040035694838e+002	2.26670000000000015916e+001
1.24557000040076673031e+002	2.26729999999999982663e+001
